key,brand,entity,inn,licence,official_site,status,in_cupis,site_ok,checked
24bet,24bet,ООО «Ф.О.Н.»,9715010229,Л027-00108-77/00395480 (до 01.06.2022 — № 4) от 26.06.2009,24bet.ru,legal,yes,yes,2026-09-11
betboom,BetBoom,ООО Фирма «СТОМ»,7705005321,Л027-00108-77/00395486 (до 01.06.2022 — № 15) от 15.07.2010,betboom.ru,legal,yes,yes,2026-09-11
bettery,Bettery,ООО «Атлантис»,7709424267,Л027-00108-77/00396457 (до 01.06.2022 — № 11) от 10.09.2009,bettery.ru,legal,yes,yes,2026-09-11
leon,Leon,ООО «Леон»,7707760834,Л027-00108-77/00395488 (до 01.06.2022 — № 20) от 16.12.2011,leon.ru,legal,yes,yes,2026-09-11
olimpbet,OLIMPBET,ООО «БК «Олимп»,7726705980,Л027-00108-77/00395492 (до 01.06.2022 — № 26) от 25.12.2012,olimp.bet,legal,yes,yes,2026-09-11
pari,PARI,ООО «Букмекерская контора «ПАРИ»,7703365167,Л027-00108-77/00395483 (до 01.06.2022 — № 9) от 14.08.2009,pari.ru,legal,yes,yes,2026-09-11
winline,Winline,ООО «Управляющая компания НКС»,7714707736,Л027-00108-77/00395482 (до 01.06.2022 — № 7) от 09.07.2009,winline.ru,legal,yes,yes,2026-09-11
baltbet,Балтбет,ООО «Санторин»,4703069532,Л027-00108-78/00396459 (до 01.06.2022 — № 16) от 01.10.2010,baltbet.ru,legal,yes,yes,2026-09-11
bet-m,Бет-М,ООО «Бет М»,2540247493,Л027-00108-77/00396463 (до 01.06.2022 — № 33) от 13.02.2020,bet-m.ru,legal,yes,yes,2026-09-11
betcity,Бетсити,ООО «Фортуна»,6164205110,Л027-00108-61/00395481 (до 01.06.2022 — № 5) от 30.06.2009,betcity.ru,legal,yes,yes,2026-09-11
zenit,Зенит,ООО «Инвест Гарант»,7701353624,Л027-00108-77/00396461 (до 01.06.2022 — № 18) от 08.10.2010,zenit.win,legal,yes,yes,2026-09-11
ligastavok,Лига Ставок,ООО «ПМБК» (Первая международная букмекерская компания),7729607406,Л027-00108-77/00396456 (до 01.06.2022 — № 6) от 08.07.2009,ligastavok.ru,legal,yes,yes,2026-09-11
marathonbet,Марафон,ООО «Букмекерская контора «Марафон»,7701180668,Л027-00108-77/00395485 (до 01.06.2022 — № 14) от 12.03.2010,marathonbet.ru,legal,yes,yes,2026-09-11
melbet,Мелбет,ООО «Мелофон»,2540179758,Л027-00108-77/00395491 (до 01.06.2022 — № 25) от 07.11.2012; вторая лицензия Л027-00108-77/00395496 (№ 34) от 03.08.2021,melbet.ru,legal,yes,yes,2026-09-11
sportbet,Спортбет,АО «СпортБет»,7710310850,Л027-00108-77/00395478 (до 01.06.2022 — № 1) от 06.04.2009,sportbet.ru,legal,yes,yes,2026-09-11
fonbet,Фонбет,ООО «Фонкор»,7726752148,Л027-00108-77/00395494 (до 01.06.2022 — № 28) от 10.10.2014,fon.bet,legal,yes,yes,2026-09-11
tennisi,Tennisi,ООО «Рус-Телетот»,7714156454,Л027-00108-77/00396458 (до 01.06.2022 — № 13) от 17.12.2009,tennisi.bet,suspended,no,yes,2026-09-11
alfabet,Alfabet,ООО «Панорама»,7724774040,Л027-00108-77/00395487 (до 01.06.2022 — № 19) от 28.07.2011,abet.ru,unverified,no,yes,2026-09-11
goldenbet,Голден Бет,ООО «Голден Бет»,7721414931,Л027-00108-23/00396462 (до 01.06.2022 — № 32) от 05.07.2018,,closed,no,,2026-09-11
